2026-07-16 12:32:42.742 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:43.368 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:43.368 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:43.474 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:44.130 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:44.130 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:44.235 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:44.782 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:44.782 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:44.887 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:45.534 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:45.534 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:45.640 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:46.234 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:46.234 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:46.339 | INFO     | service.setup:send_config_to_serial:62 - [SERIAL SEND] Port: COM3, SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
2026-07-16 12:32:46.862 | INFO     | service.setup:get_local_ip:23 - Local IP Address: 192.168.11.15
2026-07-16 12:32:46.862 | INFO     | service.setup:setup_wifi_service:77 - [API REQUEST] Setup WiFi started. SSID: Buffalo-G-DCC0, PC_IP: 192.168.11.15
